recipient,amount,error
4sNGc1FQ2feWyRxtPiK8uC2YqyL7FutQ82vJemoRMUnh,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
F3bmkR2bp5ViUuUaKwwaqefTm1rdX7tbhMHgBDLRXAtz,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
BjpjHuWK26Ma4UXdeXe4gqYTqRXftSAs1rLKpw2Y1hJq,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
6dZpYyAWMCFmk3cwA1hP56i4eCXoNi3k1HRkB6nuTT5z,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
FZMVNzSLJ5fkDLKzjgStSV8R1o1vaYszpx81T9t6k9SX,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
4MNj9TNtjurenJ2Lb1JqwNCbF6kUe8zXTLAxwuHoWnqH,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
H7xwUYDAWFJzZUrgH1Kuk25qjMY9q7zC66PLS9saEbEx,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
ADj4rUxrtBVvxk3UFScsDKCMVfkwivqFkB8zztfqHM5E,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
8pDoPLyTPE5WjedmaNt2bNk6v2QhDdWFsPJRy4gRqrSY,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
DWin2oG2LfS6MK1dLvfrckhQSu4dcDTK79BckhKw46NH,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Fjcz2HdrrotqQdo3CAfqVp8JY8QHL666P1iBRJjzmnNd,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
JBCu81nnGMB4mSJLBPzo7jciLUyEFJErnqJ37jEbJ3o,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
7otXZpGbXPWzbbD9CrsR4R1eYgEVGJbywHXiPffzmH8c,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
6jbvNqDm7k8nYQhzbcx7tM53uU6aZwmqtEPSan8irqcY,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
