recipient,amount,error
7QpQmN5seAubgTuqsXSH5mZckYJ2bB98BSBJFWMqce3M,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
54XUsz3kJAzgZ6MCMdB6Qegp6hRPnueedFJ1JLjTs5Br,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
8wzSq5HivgGinycGHE9uwGyM6hgwexEMvaLkMa2VMx4j,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
AMnuaWe2C9pFDVwb8eR3VSFxLsVoAhMfSLx9FP2bWdD5,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
55d2TK88JL8a3Lku7c5SzX1xTsd7MDb2mhsRoQfCcY8h,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
DiphNPw8YWWHYPbEXEj7VFkiV13KQLbLbCThPAjwq9w6,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
33VNLrJcTjhg4tMtdTUqevmsffNUyyBXyKE6gBMpZ27G,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
GwyGzSLSovbe3bunCmVaH8mz8kdJ47BJBLJ3YCCd4FKK,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
C8XtgqZaF79kyTxnqZnyDNZHxeiDUG5KG6dse4qHuWNg,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
7S97yMp7rabb6ZMo7ZUDo1JusxJZ3sS5vAgCVVz8b9qW,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
DK4GGPAFE1ZzJYUFa3d6j6fYpPDezm6bQz5912WxnGwC,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
47kRZkPyumTW5wRydMN8QTieRy2ZpxfsaKcpFNL8gyoD,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
CJS4TCjfUxwRCzw4g5nQyQtFpzkudDKknJ68hRQtwMH5,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
2NKPLCzX6grbGzVRiYPrgVz1vmUkbRGfP6QN6a6j9Thn,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
6wi6t93yPySSVWpm9xqm7CHFsJT3ypkidyxA9wS5aGbq,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
2DwQc4EufSNuNr6VHXrWSFuTadPgMz3pYzjLh6kC2qvP,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
DbuzqB1Xyav71GxUaBRQAyoZUjBaUGdcap9erjUsTLu,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
2d5XA8HcWjbSgm2WZ6HdRsGC8VkV7cT4jjumeRDwi58Y,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
9DxANBGtfHKzPvvMzw6WCwAfztzfmmYerLr28zVz7yPJ,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
44b1bv65tnkSwxzQNh68BGWQdVaUCmCPfFYfN5ipFzCJ,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
EoCvoSP3UAW5dXn8X723U4FjmhxidwtiT23Q8FR7i69L,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
44gGKzMBGTn5oLhkdaghCnWmmqCPxnvs34ueUeDvuBsf2,4500.000000,error: Invalid value for '<RECIPIENT_ADDRESS or RECIPIENT_TOKEN_ACCOUNT_ADDRESS>': No such file or directory (os error 2)
8a5LEDPo38tShPApt6H2s5HuemPxMMD2EzhodwpprwKH,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
8CjX6BHJpESRbATfYQuFxkGWyRhx4xZbnar6mfZBSrQA,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
AHV7RJpu5SjDw5cEjRobRGKS86zvA3FCowy1jmKap1Na,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
FjBPTVQoNiXFvKSXK6AomfTTqXaiwAC1VSbg2kbuNQPK,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
FBSUUoHxBesmKepzHGJzJeahGj8CcSbQaJ66JVTZ4Zg3,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
5yAbs4PntbVdtnNzwiGXWDUgpCk4XCBrhEtx8zKShst,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Hnm9yAr53nzLnNSmiEd6NPVRvKGzza7oBtDtUqNVB2e9,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
GF2pV1uRLccFpeVrdTNyg7izh2MiKzCT6m6Nm3R4q9oh,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
CacAmQgrXFrmB5et4BMdVugw1F8rZFBeMaaBcRDFgcNd,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
6b2HqAf44nUJmzBMkaG4KjCK4w9rLxN1aimiPbnkdX6j,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
73ix9Q8sX2VeXFfhmFgb2aQHFzJgzvnjpG4UXbhsrnLD,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
71UbFDF7Yc96nzaiyHTN2mSAFTQLQ7mgRjCmHPdGa71V,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
AzBaVkLVoAgXctWWyjmCo6ZZWxDEGXD8Jw9gv7hzKohm,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
EB9eVcN23YL1ocgmKg9DYYCxKuXQx1LziWRMmtJNsjUP,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
12wnEZHQZL1T4z94pgoRAox1xmrw61GXZ3gUNKr8RWCA,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
3ZFCwMB6NKi7pPUMeXi9x4yH42j5wMmrBR1Ymhx8rQGD,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
E8ipwCn88U6hqMoDYBY9xhiAbj1Kc2fHdUXxLVJKBMB3,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Gj46zAo6BwFpBfUkcWqAJPcyyJeAUYZEx5DuVXRpQBZG,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
6rAWcNuMtrVwxDDEzU8prG9YS7uo974htu7PVgAQrgK,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Aih2qcsevJfjUTkbXwdTAchtwA5FfyMbyusLaUfhKzjQ,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
3sFKuzKJkRmW99UwQUHgQdjmEEkQS3VFVYNgGsbcDPAH,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
F8PsBdkJs9MeWRTA3WjPy4N8QFn5jZj2eR1BHQaxYjnF,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
7nVk45wg7iHxgk83dinp3imcY2dtgdMZokvGH1w5bXjo,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
4BzuG8jnU77jCFPSBe1bmacE6f5wBrPnbNHNan3Gsvbt,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
H2wasZN99aibYQbUhYTdc3hHfCRT7yssSEsiQQCtJQf5,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
